,location,dt,tweets,sentiment,distance
26109,masbate,2013-11-01,-0.4121792194723297,-0.24887884475954636,0.0
26110,masbate,2013-11-02,-0.40307434327280933,-1.03404751767975,0.0
26111,masbate,2013-11-03,-0.42128409567185016,2.172639170355205,0.0
26112,masbate,2013-11-04,-0.40307434327280933,-1.6604812486573548,0.0
26113,masbate,2013-11-05,-0.4152141782055032,-1.54183879693089,0.0
26114,masbate,2013-11-06,-0.2573963240804828,-1.2135195942757582,0.08497884452885718
26115,masbate,2013-11-07,-0.035844336558819564,-1.7836385587042347,0.3065308320505204
26116,masbate,2013-11-08,-0.01763458415977875,-2.4035993952768457,0.3247405844495612
26117,masbate,2013-11-09,-0.25132640661413586,-2.5229108851187325,0.09104876199520412
26118,masbate,2013-11-10,-0.34237516860934,-2.243602147791463,0.0
26119,masbate,2013-11-11,-0.39396946707328895,-1.4376498833010907,0.003034958733173443
26120,masbate,2013-11-12,-0.3848645908737685,-1.7013182510685263,0.006069917466346941
26121,masbate,2013-11-13,-0.4091442607391563,-2.5096018261807025,0.0
26122,masbate,2013-11-14,-0.39396946707328895,-2.5479167376530563,0.003034958733173443
26123,masbate,2013-11-15,-0.42128409567185016,-4.693312636160535,0.0
26124,masbate,2013-11-16,-0.41824913693867666,-2.3866146526323906,0.0
26125,masbate,2013-11-17,-0.42128409567185016,1.604880549056093,0.0
26126,masbate,2013-11-18,-0.40610930200598283,-1.1687125713747986,0.0
26127,masbate,2013-11-20,-0.4091442607391563,-1.7831204457189316,0.0
26128,masbate,2013-11-21,-0.4152141782055032,-0.8849509556371431,0.0
26129,masbate,2013-11-22,-0.41824913693867666,0.5190030585599108,0.0
26130,masbate,2013-11-23,-0.4121792194723297,-2.0108910130283193,0.0
26131,masbate,2013-11-24,-0.42128409567185016,1.1276888772104015,0.0
26132,masbate,2013-11-25,-0.4091442607391563,1.106954532587581,0.0
26133,masbate,2013-11-26,-0.4152141782055032,-1.0630799924873038,0.0
26134,masbate,2013-11-27,-0.4000393845396359,-2.3148991402317662,0.0
26135,masbate,2013-11-28,-0.4152141782055032,-3.817097229306755,0.0
26136,masbate,2013-11-29,-0.42128409567185016,-3.6003366925626037,0.0
