,location,dt,tweets,sentiment,distance
7636,bohol,2013-11-01,0.024854838104649817,-1.3760763940854142,0.0698040508629898
7637,bohol,2013-11-02,0.04913450797003757,-1.3973542208397904,0.09408372072837755
7638,bohol,2013-11-03,-0.0722638413569012,-0.9918214231119189,0.027314628598561222
7639,bohol,2013-11-04,0.23123203196044573,-2.194457255484554,0.018209752399040824
7640,bohol,2013-11-05,0.033959714304170226,-1.762481016040806,0.07890892706251021
7641,bohol,2013-11-06,0.2433718668931396,-1.3202944911160115,0.030349587331734706
7642,bohol,2013-11-07,0.5377628640109661,-2.0434542538733815,0.32474058444956116
7643,bohol,2013-11-08,0.9323074993235172,-1.926562842503621,0.7192852197621122
7644,bohol,2013-11-09,0.17053285729697634,-2.2169390865871446,0.04248942226442856
7645,bohol,2013-11-10,0.0855540127681192,-1.658071120661421,0.1274682667932857
7646,bohol,2013-11-11,0.2251621144940988,-2.464446429147225,0.012139834932693883
7647,bohol,2013-11-12,0.7775246039316702,-2.7695496319559587,0.5645023243702654
7648,bohol,2013-11-13,-0.10868334615498283,-2.1362327138831207,0.01517479366586734
7649,bohol,2013-11-14,-0.239186571681442,-1.2976674300061317,0.0
7650,bohol,2013-11-15,-0.1997321081501869,-1.4392311753292963,0.006069917466346941
7651,bohol,2013-11-16,-0.24525648914778894,-1.1631467388291103,0.0
7652,bohol,2013-11-17,-0.30292070507808483,-0.15999564388916862,0.0
7653,bohol,2013-11-18,-0.31202558127760527,-0.6325509744922625,0.0
7654,bohol,2013-11-19,-0.2695361590131767,-1.4879357045101353,0.0
7655,bohol,2013-11-20,-0.2998857463449114,-0.5954382195113546,0.0
7656,bohol,2013-11-21,-0.18455731448431956,-2.0819871824618645,0.0
7657,bohol,2013-11-22,-0.1511727684194114,-2.466997706641933,0.003034958733173443
7658,bohol,2013-11-23,-0.3180954987439522,-1.7596246242987879,0.0
7659,bohol,2013-11-24,-0.08136871755642161,-1.487631012754981,0.036419504798081634
7660,bohol,2013-11-25,-0.10261342868863589,-0.6874296100574395,0.02124471113221428
7661,bohol,2013-11-26,-0.2725711177463502,-1.4440629190834615,0.0
7662,bohol,2013-11-27,-0.290780870145391,-0.8357652639951417,0.0
7663,bohol,2013-11-28,-0.0054947492270848745,-1.783155883379588,0.039454463531255105
7664,bohol,2013-11-29,-0.24222153041461547,-1.348169835127336,0.0
7665,bohol,2013-11-30,-0.3059556638112583,0.22410771988950998,0.0
